"Suburb","Rooms","Type","Price","Method","Distance","Bedroom2","Bathroom","Car","Landsize","BuildingArea","Lattitude","Longtitude","Regionname","Propertycount"
"Abbotsford",2,"h",1480000,"S",2.5,2,1,1,202,85,-37.7996,144.9984,"Northern Metropolitan",4019
"Abbotsford",2,"h",1035000,"S",2.5,2,1,0,156,79,-37.8079,144.9934,"Northern Metropolitan",4019
"Abbotsford",3,"h",1465000,"SP",2.5,3,2,0,134,150,-37.8093,144.9944,"Northern Metropolitan",4019
"Abbotsford",3,"h",850000,"PI",2.5,3,2,1,94,129,-37.7969,144.9969,"Northern Metropolitan",4019
"Abbotsford",4,"h",1600000,"VB",2.5,3,1,2,120,142,-37.8072,144.9941,"Northern Metropolitan",4019
"Abbotsford",2,"h",941000,"S",2.5,2,1,0,181,85,-37.8041,144.9953,"Northern Metropolitan",4019
"Abbotsford",3,"h",1876000,"S",2.5,4,2,0,245,210,-37.8024,144.9993,"Northern Metropolitan",4019
"Abbotsford",2,"h",1636000,"S",2.5,2,1,2,256,107,-37.806,144.9954,"Northern Metropolitan",4019
"Abbotsford",1,"u",3e+05,"S",2.5,1,1,1,0,49,-37.8008,144.9973,"Northern Metropolitan",4019
"Abbotsford",2,"h",1097000,"S",2.5,3,1,2,220,75,-37.801,144.9989,"Northern Metropolitan",4019
"Abbotsford",2,"u",7e+05,"VB",2.5,2,2,1,0,85,-37.811,145.0067,"Northern Metropolitan",4019
"Abbotsford",3,"h",1350000,"VB",2.5,3,2,2,214,190,-37.8085,144.9964,"Northern Metropolitan",4019
"Abbotsford",2,"u",750000,"S",2.5,2,2,1,0,94,-37.8078,144.9965,"Northern Metropolitan",4019
"Abbotsford",2,"h",1172500,"S",2.5,2,1,1,195,85,-37.8084,144.9973,"Northern Metropolitan",4019
"Abbotsford",1,"u",441000,"SP",2.5,1,1,1,0,49,-37.8016,144.9988,"Northern Metropolitan",4019
"Abbotsford",2,"h",1310000,"S",2.5,2,1,2,238,97,-37.809,144.9976,"Northern Metropolitan",4019
"Abbotsford",3,"h",1200000,"S",2.5,3,2,1,113,110,-37.8056,144.993,"Northern Metropolitan",4019
"Abbotsford",3,"h",1176500,"S",2.5,2,1,1,138,105,-37.8021,144.9965,"Northern Metropolitan",4019
"Abbotsford",3,"h",955000,"S",2.5,3,1,0,183,129,-37.8022,144.9975,"Northern Metropolitan",4019
"Abbotsford",2,"h",890000,"S",2.5,2,1,1,150,73,-37.8011,145.0004,"Northern Metropolitan",4019
"Abbotsford",4,"h",1330000,"PI",2.5,4,2,2,780,135,-37.8073,144.9952,"Northern Metropolitan",4019
"Abbotsford",3,"t",9e+05,"S",2.5,3,2,2,0,129,-37.8093,144.9959,"Northern Metropolitan",4019
"Abbotsford",2,"u",5e+05,"S",2.5,2,1,1,0,60,-37.8015,144.9972,"Northern Metropolitan",4019
"Abbotsford",2,"h",1100000,"PI",2.5,2,2,1,124,135,-37.8079,144.9977,"Northern Metropolitan",4019
"Abbotsford",2,"h",1315000,"S",2.5,2,1,0,147,85,-37.808,144.994,"Northern Metropolitan",4019
"Abbotsford",1,"u",426000,"SP",2.5,1,1,1,0,49,-37.8016,144.9988,"Northern Metropolitan",4019
"Abbotsford",3,"h",1447500,"PI",2.5,3,3,1,166,174,-37.8017,145.0001,"Northern Metropolitan",4019
"Abbotsford",1,"u",457000,"S",2.5,1,1,1,0,50,-37.8078,144.9965,"Northern Metropolitan",4019
"Abbotsford",2,"h",1135000,"S",2.5,2,2,2,98,128,-37.8005,144.9952,"Northern Metropolitan",4019
"Abbotsford",4,"h",1542000,"S",2.5,4,3,1,0,187,-37.7994,144.9965,"Northern Metropolitan",4019
"Abbotsford",3,"h",1290000,"S",2.5,3,2,2,147,18,-37.805,144.9943,"Northern Metropolitan",4019
"Abbotsford",3,"h",1290000,"S",2.5,3,1,1,168,124,-37.8007,144.9958,"Northern Metropolitan",4019
"Abbotsford",1,"u",470000,"S",2.5,1,1,1,0,50,-37.8055,144.9961,"Northern Metropolitan",4019
"Abbotsford",2,"h",1180000,"S",2.5,2,1,0,162,91,-37.8016,144.9956,"Northern Metropolitan",4019
"Abbotsford",3,"h",1195000,"SP",2.5,3,2,1,120,128,-37.8022,144.9954,"Northern Metropolitan",4019
"Abbotsford",2,"h",1012500,"S",2.5,2,1,0,182,82,-37.8021,144.9976,"Northern Metropolitan",4019
"Abbotsford",2,"h",1030000,"S",2.5,2,1,1,172,81,-37.8086,144.9946,"Northern Metropolitan",4019
"Airport West",3,"t",840000,"PI",13.5,3,2,1,303,225,-37.718,144.878,"Western Metropolitan",3464
"Airport West",3,"h",730000,"VB",13.5,3,2,1,0,145,-37.7203,144.8755,"Western Metropolitan",3464
